데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-21 13:59,ICW0W2100497,267,111,1191,96,25.9,22,55,54
2024-03-21 14:02,ICW0W2100491,6,3,1428,11907,26.9,21,72,55
2024-03-21 13:59,ICW0W2100485,13,5,1863,0,24.4,32,66,77
2024-03-21 13:59,ICW0W2100481,7,2,1831,2087,22.4,35,59,73
2024-03-21 14:00,ICW0W2100479,24,9,474,53,24.9,14,57,90
2024-03-21 13:59,ICW0W2100489,12,4,21,2,24,20,61,100
2024-03-21 13:59,ICW0W2100467,10,4,,6000,21.8,18,67,59
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-21 13:59,ICW0W2100462,17,5,104,3124,25,20,56,73
2024-03-21 13:59,ICW0W2100460,10,3,681,0,21.6,24,58,98
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-21 13:59,ICW0W2100455,13,5,593,4279,25,17,60,65
2024-03-21 13:59,ICW0W2000512,28,10,553,137,23.2,19,57,91
2024-03-21 13:59,ICW0W2001000,18,11,431,140,17.8,32,80,93
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-21 13:59,ICW0W2000951,33,10,355,223,22,22,53,94
2024-03-21 13:59,ICW0W2000956,25,14,981,300,18.6,34,66,90
2024-03-21 13:59,ICW0W2000996,18,18,522,7671,21.7,22,52,62
2024-03-21 13:59,ICW0W2000991,14,10,707,83,21.2,25,58,95
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-21 13:59,ICW0W2000983,11,8,110,133,16.4,29,60,96
2024-03-21 13:59,ICW0W2000955,23,16,595,603,18.6,22,64,84
2024-03-21 13:59,ICW0W2000987,9,6,880,352,22.9,26,60,92
2024-03-21 13:59,ICW0W2000978,22,13,636,159,16.8,24,43,91
2024-03-21 13:59,ICW0W2000922,14,4,413,24,23.3,29,59,99
2024-03-21 13:59,ICW0W2000926,14,4,209,126,27.7,24,50,92
2024-03-21 13:59,ICW0W2000977,9,6,862,1258,21.4,28,57,77
2024-03-21 13:59,ICW0W2000933,27,9,536,267,23,21,51,93
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-21 13:59,ICW0W2000973,154,65,693,2258,21.1,27,59,56
2024-03-21 13:59,ICW0W2000972,296,207,585,46,20.9,17,76,57
2024-03-21 13:59,ICW0W2000968,40,18,820,322,26.4,18,51,83
2024-03-21 13:59,ICW0W2000944,21,14,768,46,20.1,26,77,94
2024-03-21 13:59,ICW0W2000964,24,16,533,102,17.9,20,55,91
2024-03-21 13:59,ICW0W2000924,22,7,674,462,22.4,24,77,88
2024-03-21 13:59,ICW0W2000505,7,2,557,364,25,21,57,92
2024-03-21 13:59,V01T1623100,33,15,1101,452,23.8,25,56,84
2024-03-21 13:59,V01T1623130,1,1,928,178,24.5,18,43,90
2024-03-21 13:59,V01T1623129,3,1,636,149,27,16,38,91
2024-03-21 13:06,V01T1623123,25,12,484,125,22.4,15,30,92
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-21 13:58,V01T1623118,6,3,542,126,22.1,19,37,95
2024-03-21 13:58,V01T1623117,22,11,637,125,21.8,15,44,91
2024-03-21 13:59,V01T1623116,31,14,807,174,21.6,22,36,92
2024-03-21 13:59,V01T1623113,35,16,425,128,25.4,9,30,88
2024-03-21 13:02,V01T1623112,15,7,1301,125,29.5,29,42,77
2024-03-21 13:59,V01T1623109,35,16,2359,131,10.7,32,43,65
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-21 13:59,V01T1623105,40,18,569,163,20.1,17,59,89
2024-03-21 13:59,V01T1623102,8,4,2085,388,27.9,39,44,73
2024-03-21 13:59,ICW0W2000503,5,2,1002,584,22.4,29,56,87
2024-03-21 13:59,ICW0W2000455,11,4,180,99,20.4,31,65,99
2024-03-21 13:59,ICW0W2000447,12,4,676,131,19.6,25,59,96
2024-03-21 13:59,ICW0W2000459,12,5,774,26,26,19,63,91
2024-03-21 13:59,ICW0W2000507,10,6,668,105,25,19,66,90
2024-03-21 13:59,ICW0W2000501,11,4,470,2268,22.2,22,64,77
2024-03-21 13:59,ICW0W2000500,14,8,2500,420,28.9,16,64,67
2024-03-21 13:59,ICW0W2000380,20,7,699,306,18.1,29,53,93
2024-03-21 13:59,ICW0W2000275,14,5,796,123,16.7,32,50,92
2024-03-21 13:59,ICW0W2000388,16,6,671,217,16.6,30,48,91
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-21 13:59,ICW0W2000382,3,1,500,26,21.3,26,64,100
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-21 13:59,ICW0W2000287,9,3,948,139,24.8,22,55,92
2024-03-21 13:59,ICW0W2000398,22,8,592,107,24.1,20,61,92
2024-03-21 13:59,ICW0W2000974,3,2,1852,450,18.5,33,52,80
2024-03-21 13:59,ICW0W2000248,15,5,1939,68,25.5,20,65,76
2024-03-21 13:59,ICW0W2000262,20,7,568,26,18.1,24,65,97
2024-03-21 13:58,ICW0W2100488,22,8,455,202,22.8,15,72,92
2024-03-21 13:58,ICW0W2100506,32,12,59,10,22,14,55,95
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 13:58,ICW0W2100582,30,11,583,55,22.7,19,66,92
2024-03-21 13:58,ICW0W2100579,11,4,0,215,25.9,12,63,93
2024-03-21 13:59,ICW0W2100562,26,14,596,493,24.5,14,61,81
